vd<,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,pH y FOS/TAC del biodigestor 050,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Fecha,Hora,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,,Fecha,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,Hora,,,,,,,,,ST,SV,Cenizas,pH,Conductividad,FOS,TAC,FOS/TAC,protocolo
2022-07-16 00:00:00,,,7.84,1004.0000000000007,7600,0.13210526315789484,30.4,1.3000000000000007,31.7,,2022-07-16 00:00:00,,7.85,3078.9999999999977,8925,0.34498599439775884,35.7,3.799999999999997,39.5,,,,,,,,,,,,,,,,,,
2022-07-18 00:00:00,,,7.74,1003.9999999999976,8050.000000000001,0.12472049689440963,32.2,1.2999999999999972,33.5,,2022-08-20 00:00:00,,7.82,339.99999999999994,6925,0.049097472924187716,27.7,0.5,28.2,,,,,,,,,,,,,,,,,,
2022-07-22 00:00:00,,,7.79,920.9999999999993,7800,0.118076923076923,31.2,1.1999999999999993,32.4,,2022-09-02 00:00:00,,7.78,920.9999999999993,7200,0.12791666666666657,28.8,1.1999999999999993,30,,,,,,,,,,,,,,,,,,
2022-07-23 00:00:00,,,7.8,1419.0000000000005,7925,0.1790536277602524,31.7,1.8000000000000007,33.5,,2022-09-03 00:00:00,,7.85,838.0000000000011,6750,0.12414814814814831,27,1.1000000000000014,28.1,,,,,,,,,,,,,,,,,,
2022-07-24 00:00:00,,,7.78,838.0000000000011,7625,0.10990163934426245,30.5,1.1000000000000014,31.6,,2022-09-04 00:00:00,,,838.0000000000011,7375,0.11362711864406795,29.5,1.1000000000000014,30.6,,,,,,,,,,,,,,,,,,
2022-07-25 00:00:00,,,7.71,1750.9999999999964,9025,0.19401662049861457,36.1,2.1999999999999957,38.3,,2022-09-05 00:00:00,,7.85,838.0000000000011,7100,0.11802816901408467,28.4,1.1000000000000014,29.5,,,,,,,,,,,,,,,,,,
2022-07-27 00:00:00,,,7.82,1170,8050.000000000001,0.14534161490683228,32.2,1.5,33.7,,2022-09-06 00:00:00,,7.74,838.0000000000011,7600,0.110263157894737,30.4,1.1000000000000014,31.5,,,,,,,,,,,,,,,,,,
2022-07-28 00:00:00,,,7.82,921.0000000000024,8000,0.1151250000000003,32,1.2000000000000028,33.2,,2022-09-07 00:00:00,,7.85,1170,7375,0.15864406779661017,29.5,1.5,31,,,,,,,,,,,,,,,,,,
2022-07-29 00:00:00,,,7.9,921.0000000000024,8125,0.11335384615384644,32.5,1.2000000000000028,33.7,,2022-09-08 00:00:00,,7.9,1501.9999999999989,7275,0.2064604810996562,29.1,1.8999999999999986,31,,,,,,,,,,,,,,,,,,
2022-07-30 00:00:00,,,7.8,755,8175.000000000001,0.09235474006116207,32.7,1.0,33.7,,2022-09-09 00:00:00,,7.8,1004.0000000000007,7575,0.13254125412541262,30.3,1.3000000000000007,31.6,,,,,,,,,,,,,,,,,,
2022-08-03 00:00:00,,,7.71,921.0000000000024,8500,0.10835294117647087,34,1.2000000000000028,35.2,,2022-09-10 00:00:00,,7.71,1418.9999999999975,8775,0.16170940170940143,35.1,1.7999999999999972,36.9,,,,,,,,,,,,,,,,,,
2022-08-04 00:00:00,,,7.81,5071.000000000002,8450,0.6001183431952665,33.8,6.200000000000003,40,,2022-09-11 00:00:00,,7.96,920.9999999999993,7400,0.12445945945945937,29.6,1.1999999999999993,30.8,,,,,,,,,,,,,,,,,,
2022-08-05 00:00:00,,,7.79,1585,8350,0.18982035928143712,33.4,2.0,35.4,,2022-09-12 00:00:00,,7.81,755,7050,0.10709219858156029,28.2,1.0,29.2,,,,,,,,,,,,,,,,,,
2022-08-06 00:00:00,,,7.79,1833.9999999999977,8775,0.20900284900284874,35.1,2.299999999999997,37.4,,2022-09-13 00:00:00,,7.81,1004.0000000000007,7825,0.12830670926517582,31.3,1.3000000000000007,32.6,,,,,,,,,,,,,,,,,,
2022-08-07 00:00:00,,,7.84,1833.9999999999977,8550,0.21450292397660792,34.2,2.299999999999997,36.5,,2022-09-14 00:00:00,,7.72,838.0000000000011,7850,0.10675159235668805,31.4,1.1000000000000014,32.5,,,,,,,,,,,,,,,,,,
2022-08-07 00:00:00,,,7.83,1585,9125,0.1736986301369863,36.5,2.0,38.5,,1900-01-15 00:00:00,,7.69,1003.9999999999976,8500,0.11811764705882324,34,1.2999999999999972,35.3,,,,,,,,,,,,,,,,,,
2022-08-08 00:00:00,,,7.81,1086.9999999999989,8000,0.13587499999999986,32,1.3999999999999986,33.4,,2022-09-16 00:00:00,,7.7,-2482.000000000002,7825,-0.31718849840255614,31.3,-2.900000000000002,28.4,,,,,,,,,,,,,,,,,,
2022-08-09 00:00:00,,,7.7,1335.9999999999966,9300,0.14365591397849425,37.2,1.6999999999999957,38.9,,2022-09-17 00:00:00,,7.73,-1900.9999999999993,7600,-0.2501315789473683,30.4,-2.1999999999999993,28.2,,,,,,,,,,,,,,,,,,
