Fecha ingreso,Semana,Sustrato,Proveedor,Observaciones,Transportista,Cantidad sustrato,Lugar de descarga,N° remito,Patente,ST (%) Análisis Planta,Responsable,Columna1,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
2024-05-26,22,Suero ,Nonna Pia S.R.L.,Rufino,Agustin Cabeza,27980.0,Buffer,519,FCX874/DUM083,0.0523,Agustín,,,,,3.0
2024-05-26,22,Lactosa,Remotti S.A.,,Federico Fogliatto,29900.0,Buffer,517,AG001DB/JDF165,0.1214,Agustín,,,,,-2.0
2024-05-27,22,Cebada,Maria Elena S.A.,,Maria Elena S.A.,1860.0,Playón,597,,,Agustin ,,,,,80.0
2024-05-27,22,Lactosa,Remotti S.A.,,Federico Fogliatto,25540.0,Buffer,520,AG001DB/JDF165,0.1234,Agustín,,,,,-77.0
2024-05-28,22,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,25660.0,Playón,522,FEJ852/LJH045,0.2281,Agustín,,,,,2.0
2024-05-28,22,Lactosa,Remotti S.A.,,Federico Fogliatto,26160.0,Buffer,521,AG001DB/JDF165,0.1253,Agustín,,,,,-1.0
2024-05-28,22,Lactosa,Remotti S.A.,,Federico Fogliatto,25660.0,Buffer,523,aG001MB/JDF 165,0.1309,Gustavo,,,,,2.0
2024-05-29,22,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,620.0,Playón,599,,,Agustin ,,,,,76.0
2024-05-29,22,Cebada,Maria Elena S.A.,,Maria Elena S.A.,2260.0,Playón,598,,,Agustin ,,,,,-1.0
2024-05-29,22,Lactosa,Remotti S.A.,,Federico Fogliatto,25680.0,Buffer,524,AG001DB/JDF165,0.1265,Agustín,,,,,-74.0
2024-05-29,22,Lactosa,Remotti S.A.,,Federico Fogliatto,26520.0,Buffer,525,aG001DB/JDF165,0.1244,Gustavo,,,,,1.0
2024-05-29,22,Suero ,Nonna Pia S.R.L.,Rufino/Laboulaye,Agustin Cabeza,28300.0,Buffer,526,FCX874/DUM083,0.038,Gustavo,,,,,1.0
2024-05-30,22,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,18000.0,Playón,529,FEJ82/AE310WL,0.1676,Agustín,,,,,3.0
2024-05-30,22,Lactosa,Remotti S.A.,,Federico Fogliatto,26120.0,Buffer,527,JXJ011/IED478,0.121,Agustín,,,,,-2.0
2024-05-30,22,Lactosa,Remotti S.A.,,Federico Fogliatto,26060.0,Buffer,528,KKS 989/HQK247,0.1246,Agustín,,,,,1.0
2024-05-31,22,Lactosa,Remotti S.A.,,Federico Fogliatto,29360.0,Buffer,531,AG001DB/JDF165,0.1263,Cristián,,,,,3.0
2024-05-31,22,Suero ,Nonna Pia S.R.L.,Rufino,Agustin Cabeza,28520.0,Buffer,530,FCX874/DUM083,0.0571,Cristián,,,,,-1.0
2024-05-31,22,Lactosa,Remotti S.A.,,Federico Fogliatto,24840.0,Buffer,532,KKS 989/H9K247,0.1252,Agustín,,,,,2.0
2024-06-01,22,Lactosa,Remotti S.A.,,Federico Fogliatto,28760.0,Buffer,533,AG001DB/JDF165,0.1123,Gustavo,,,,,2.0
2024-06-01,22,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,5020.0,Buffer,534,WTG 975,0.3448,Gustavo,,,,,
2024-06-01,22,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,17450.0,Buffer,535,fCX874/DUM083,0.0661,Gustavo,,,,,2.0
2024-06-02,23,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,27720.0,Buffer,537,fCX874/DUM083,0.0454,Leonardo,,,,,
2024-06-02,23,Lactosa,Remotti S.A.,,Federico Fogliatto,28760.0,Buffer,536,AG001DB/JDF165,0.1075,Leonardo,,,,,
2024-06-03,23,Lactosa,Remotti S.A.,,Federico Fogliatto,25980.0,Buffer,538,AG001DB/JDF165,0.1264,Leonardo,,,,,-1.0
2024-06-04,23,Aceite(olio de margarina),Mauro traversaro,,Mauro Traversaro,1000.0,Buffer,543,WTG 975,0.977,Agustín,,,,,4.0
2024-06-04,23,Lactosa,Remotti S.A.,,Federico Fogliatto,25980.0,Buffer,540,AG001DB/JDF165,0.1287,Leonardo,,,,,1.0
2024-06-04,23,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,26840.0,Playón,541,FEJ852/AE310WL,0.2679,Leonardo,,,,,-2.0
2024-06-04,23,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,27288.0,Buffer,539,fCX874/DUM083,0.0886,Cristián,,,,,3.0
2024-06-04,23,Lactosa,Remotti S.A.,,Federico Fogliatto,29840.0,Buffer,542,SXJ011/IED978,0.1261,Agustín,,,,,3.0
2024-06-05,23,Barrido Cargil,Cargill S.A.C.I.,,Transcereal S.A,8280.0,Playón,545,NBL471/AD327GQ,0.7235,Leonardo,,,,,2.0
2024-06-05,23,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,27840.0,Buffer,547,AGJ450,0.0577,Agustín,,,,,-3.0
2024-06-05,23,Lactosa,Remotti S.A.,,Federico Fogliatto,29220.0,Buffer,544,SXJ011/IED978,0.1266,Leonardo,,,,,2.0
2024-06-05,23,Lactosa,Remotti S.A.,,Federico Fogliatto,29000.0,Buffer,546,AG001DB/JDF165,0.1287,Agustín,,,,,3.0
2024-06-06,23,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,22900.0,Playón,549,FEJ852/AE310WL,0.3648,Leonardo,,,,,2.0
2024-06-06,23,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,27500.0,Buffer,551,AG001DB/JDF165,0.0527,Agustín,,,,,-3.0
2024-06-06,23,Lactosa,Remotti S.A.,,Federico Fogliatto,27860.0,Buffer,548,AG001DB/JDF165,0.116,Leonardo,,,,,2.0
2024-06-06,23,Lactosa,Remotti S.A.,,Federico Fogliatto,28860.0,Buffer,550,jXJ011/HQK 297,0.1328,Agustín,,,,,4.0
2024-06-07,23,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,23260.0,Playón,554,FEJ852/AE310WL,0.2848,Agustín,,,,,-2.0
2024-06-07,23,Lactosa,Remotti S.A.,,Federico Fogliatto,27640.0,Buffer,552,jXJ011/HQK 297,0.1167,Gustavo,,,,,1.0
2024-06-07,23,Lactosa,Remotti S.A.,,Federico Fogliatto,29180.0,Buffer,553,AG001DB/JDF165,0.1301,Cristián,,,,,2.0
2024-06-07,23,Suero ,Nonna Pia S.R.L.,Laboulaye,Ing. lactea s.a,30700.0,Buffer,555,AE901WG/FBG933,0.066,Agustín,,,,,2.0
2024-06-08,23,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,5520.0,Buffer,557,WTG 975,0.6572,Cristián,,,,,-1.0
2024-06-08,23,Lactosa,Remotti S.A.,,Federico Fogliatto,27140.0,Buffer,556,KKS 989/H9K165,0.1265,Cristián,,,,,2.0
2024-06-08,23,Suero ,Nonna Pia S.R.L.,Laboulaye/rufino,Agustin Cabeza,27550.0,Buffer,558,fCX874/DUM083,0.0422,Agustín,,,,,2.0
2024-06-09,24,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,27350.0,Buffer,560,fCX874/DUM083,0.0538,Leonardo,,,,,-1.0
2024-06-09,24,Lactosa,Remotti S.A.,,Federico Fogliatto,28540.0,Buffer,559,KKS 989/HQK247,0.1288,Cristián,,,,,
2024-06-10,24,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,27380.0,Buffer,563,fCX874/DUM083,0.0431,Leonardo,,,,,4.0
2024-06-10,24,Lactosa,Remotti S.A.,,Federico Fogliatto,29100.0,Buffer,561,KKS 989/H9K165,0.1275,Cristián,,,,,-2.0
