Fecha ingreso,Semana,Sustrato,Proveedor,Observaciones,Transportista,Cantidad sustrato,Lugar de descarga,N° remito,Patente,ST (%) Análisis Planta,Responsable,Columna1,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
2024-07-16,29,Purin(padrillera) ,Mauro Traversaro,,Mauro Traversaro,20000.0,Buffer,659,WTG 975,0.0461,Agustin ,,,,,
2024-07-16,29,Lactosa,Remotti S.A.,,Federico Fogliatto,28530.0,Buffer,660,jXJ011/GDF812,0.1277,Gustavo,,,,,
2024-07-17,29,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,29040.0,Playón,661,FEJ852/AE310WL,0.3453,Agustin ,,,,,
2024-07-17,29,Lactosa,Remotti S.A.,,Federico Fogliatto,28100.0,Buffer,662,jXJ011/GDF812,0.1315,Agustin ,,,,,
2024-07-17,29,Suero ,Nonna Pia S.R.L.,laboulaye/Rufino,Agustin Cabeza,27640.0,Buffer,663,WYQ411/AGS450,0.0474,Gustavo,,,,,
2024-07-18,29,Lactosa,Remotti S.A.,,Federico Fogliatto,28600.0,Buffer,664,jXJ011/GDF812,0.0596,Agustin ,,,,,
2024-07-18,29,Barrido Cargil,Cargill S.A.C.I.,,Don Victor,8060.0,Playón,665,AA648ZM/AF070NV,,Agustin ,,,,,
2024-07-18,29,Lactosa,Remotti S.A.,,Federico Fogliatto,28200.0,Buffer,666,JXJ011/GDF812,0.1291,Gustavo,,,,,
2024-07-18,29,Suero ,Nonna Pia S.R.L.,Laboulaye/Rufino,Agustin Cabeza,27180.0,Buffer,667,WYQ411/AGS450,0.0423,Gustavo,,,,,
2024-07-19,29,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,16440.0,Playón,668,FEJ852/AE310WL,0.2464,Leonardo,,,,,
2024-07-19,29,Lactosa,Remotti S.A.,,Federico Fogliatto,28240.0,Buffer,669,JXJ011/GDF812,0.1304,Leonardo,,,,,
2024-07-19,29,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,4980.0,Buffer,670,WTG 975,0.5326,Leonardo,,,,,
2024-07-19,29,Barrido Cargil,Cargill S.A.C.I.,,Transcereal S.A,2680.0,Playón,671,FBK151 / AD510FS,0.8764,Leonardo,,,,,
2024-07-19,29,Suero ,Nonna Pia S.R.L.,Laboulaye/rufino,Agustin Cabeza,24880.0,Buffer,672,wYQ411/AGS450,0.0605,Gustavo,,,,,
2024-07-19,29,Grasa,Gente de la Pampa S.A.,Catrilo,Transcereal S.A,39030.0,Playón,673,AA6482,0.9095,Gustavo,,,,,
2024-07-20,29,Lactosa,Remotti S.A.,,Federico Fogliatto,30300.0,Buffer,674,JXJ011/GDF812,0.1269,Leonardo,,,,,
2024-07-21,30,Lactosa,Remotti S.A.,,Federico Fogliatto,27760.0,Buffer,675,JXJ011/GDF812,0.1272,Leonardo,,,,,
2024-07-22,30,Lactosa,Remotti S.A.,,Federico Fogliatto,28140.0,Buffer,676,JXJ011/GDF813,0.1329,Leonardo,,,,,
2024-07-22,30,Suero ,Nonna Pia S.R.L.,Laboulaye/Rufino,Agustin Cabeza,27340.0,Buffer,677,WYQ411/AGS450,0.0666,Agustin ,,,,,
2024-07-23,30,Lactosa,Remotti S.A.,,Federico Fogliatto,27380.0,Buffer,678,JXJ011/GDF812,0.1093,Leonardo,,,,,
2024-07-23,30,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,29760.0,Playón,679,FEJ852/AE310WL,0.29,Leonardo,,,,,
2024-07-23,30,Lactosa,Remotti S.A.,,Federico Fogliatto,27220.0,Buffer,680,VXV 011/ GDF 812,0.1148,Agustin ,,,,,
2024-07-24,30,Lactosa,Remotti S.A.,,Federico Fogliatto,30340.0,Buffer,681,JXJ011/GDF813,0.1256,Leonardo,,,,,
2024-07-24,30,Suero ,Nonna Pia S.R.L.,Laboulaye/Rufino,Agustin Cabeza,30940.0,Buffer,682,WYQ411/AGS450,0.07,Agustin ,,,,,
2024-07-25,30,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,18260.0,Playón,683,FEJ852/LJH045,0.2485,Cristián,,,,,
2024-07-25,30,Lactosa,Remotti S.A.,,Federico Fogliatto,27780.0,Buffer,684,SXS011/JDF812,0.122,Agustin ,,,,,
2024-07-25,30,Lactosa,Remotti S.A.,,Federico Fogliatto,29410.0,Buffer,685,KKS989/HQK297,0.1251,Agustin ,,,,,
2024-07-26,30,Lactosa,Remotti S.A.,,Federico Fogliatto,28100.0,Buffer,686,AG001MB/UDF165,0.1187,Cristián,,,,,
2024-07-26,30,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,25280.0,Playón,687,FEJ852/LJH045,0.2615,Cristián,,,,,
2024-07-26,30,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,5540.0,Buffer,688,WTG 975,0.3061,Agustin ,,,,,
2024-07-26,30,Suero ,Nonna Pia S.R.L.,Laboulaye/Rufino,Agustin Cabeza,30500.0,Buffer,689,WYQ411/AGS450,0.0477,Agustin ,,,,,
2024-07-26,30,Purin(padrillera) ,Mauro Traversaro,,Mauro Traversaro,10000.0,Buffer,690,WTG 975,0.1839,Agustin ,,,,,
2024-07-27,30,Expeller de girasol,Blessing Aceitera de Ameghino S.A.,Ameghino,Transcereal S.A,17860.0,Playón,691,KRQ062/NDN433,0.9563,Cristián,,,,,
2024-07-27,30,Lactosa,Remotti S.A.,,Federico Fogliatto,30140.0,Buffer,692,HDG883/GDF812,0.1266,Cristián,,,,,
2024-07-27,30,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,24496.0,Buffer,693,WYQ411/AGS450,0.0895,Leonardo,,,,,
2024-07-28,31,Lactosa,Remotti S.A.,,Federico Fogliatto,28480.0,Buffer,694,HDG883/GDF812,0.1293,Cristián,,,,,
2024-07-10,28,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,1620.0,Playón,695,,,Cristián,,,,,
2024-07-11,28,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,2120.0,Playón,696,,,Cristián,,,,,
2024-07-12,28,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,1740.0,Playón,697,,,Cristián,,,,,
2024-07-15,29,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,1580.0,Playón,698,,,Cristián,,,,,
2024-07-17,29,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,380.0,Playón,699,,,Cristián,,,,,
2024-07-17,29,Descarte de trigo,Maria Elena S.A.,,Maria Elena S.A.,440.0,Playón,700,,,Cristián,,,,,
2024-07-18,29,Descarte de trigo,Maria Elena S.A.,,Maria Elena S.A.,1960.0,Playón,701,,,Cristián,,,,,
2024-07-23,30,Cebada,Maria Elena S.A.,,Maria Elena S.A.,2060.0,Playón,702,,,Cristián,,,,,
2024-07-29,31,Lactosa,Remotti S.A.,,Federico Fogliatto,29280.0,Buffer,703,HDG883/GDF812,0.1345,Cristián,,,,,
2024-07-29,31,Barrido Cargil,Cargill S.A.C.I.,,Transcereal S.A,3780.0,Playón,704,FBK151 / AD510FS,0.8371,Cristián,,,,,
2024-07-30,31,Lactosa,Remotti S.A.,,Federico Fogliatto,29280.0,Buffer,705,HDG883/GDF812,0.1234,Cristián,,,,,
2024-07-30,31,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,19680.0,Playón,706,GV1255/LJH045,0.2855,Cristián,,,,,
2024-07-30,31,Lactosa,Remotti S.A.,,Federico Fogliatto,30120.0,Buffer,707,KKS989/HQK297,0.1179,Cristián,,,,,
2024-07-30,31,Grasa,Gente de la Pampa S.A.,,Agricola camilletti,35160.0,Playón,708,ae762fc,0.7621,Cristián,,,,,
2024-07-31,31,Lactosa,Remotti S.A.,,Federico Fogliatto,29040.0,Buffer,709,KKS989/HQK297,0.118,Leonardo,,,,,
2024-07-31,31,Expeller de girasol,Blessing Aceitera de Ameghino S.A.,Ameghino,Transcereal S.A,20820.0,Playón,710,LL358 EVW176,0.95,Leonardo,,,,,
2024-07-31,31,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,28160.0,Buffer,711,WYQ411/AGS450,0.0827,Leonardo,,,,,
2024-08-01,31,Lactosa,Remotti S.A.,,Federico Fogliatto,28940.0,Buffer,712,HDG873/HQK247,0.1149,Gustavo,,,,,
2024-08-01,31,Lactosa,Remotti S.A.,,Federico Fogliatto,28040.0,Buffer,713,HDG873/HQK248,0.1232,Leonardo,,,,,
2024-08-01,31,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,22400.0,Buffer,714,WYQ411/AGS450,0.0779,Leonardo,,,,,
2024-08-02,31,Lactosa,Remotti S.A.,,Federico Fogliatto,30480.0,Buffer,715,AG001MB/GDF812,0.1167,Gustavo,,,,,
2024-08-02,31,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,24760.0,Playón,716,FEJ852/AE310WL,0.1854,Gustavo,,,,,
2024-08-03,31,Lactosa,Remotti S.A.,,Federico Fogliatto,27740.0,Buffer,717,HDG873/HQK247,0.1268,Gustavo,,,,,
2024-08-03,31,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,4280.0,Buffer,718,WTG 975,0.4271,Cristián,,,,,
2024-08-04,32,Lactosa,Remotti S.A.,,Federico Fogliatto,28720.0,Buffer,719,AG001MB/GDF812,0.1241,Cristián,,,,,
2024-08-05,32,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,14340.0,Playón,720,fEJ852/AE310WL,0.3533,Gustavo,,,,,
2024-08-05,32,Lactosa,Remotti S.A.,,Federico Fogliatto,28940.0,Buffer,721,KKS989/GDF812,0.1229,Gustavo,,,,,
2024-08-06,32,Lactosa,Remotti S.A.,,Federico Fogliatto,28780.0,Buffer,722,HDG873/HQK247,0.1283,Agustin ,,,,,
2024-08-06,32,Lactosa,Remotti S.A.,,Federico Fogliatto,28060.0,Buffer,723,HDG873/HQK248,0.1264,Cristián,,,,,
2024-08-07,32,Lactosa,Remotti S.A.,,Federico Fogliatto,28340.0,Buffer,724,HDG873/HQK247,0.1261,Agustin ,,,,,
2024-08-08,32,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,23550.0,Buffer,725,WYQ411/AGS450,0.0675,Gustavo,,,,,
2024-08-08,32,Lactosa,Remotti S.A.,,Federico Fogliatto,28420.0,Buffer,726,HDG873/HQK247,0.1302,Gustavo,,,,,
2024-08-09,32,Lactosa,Remotti S.A.,,Federico Fogliatto,28360.0,Buffer,727,HDG873/HQK247,0.1311,Leonardo,,,,,
2024-08-09,32,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,30220.0,Playón,728,fEJ852/LJH045,0.4962,Gustavo,,,,,
2024-08-09,32,Suero ,Nonna Pia S.R.L.,laboulaye,agustin Cabeza,19560.0,Buffer,729,wYQ411/AGS450,0.065,Gustavo,,,,,
2024-08-10,32,Lactosa,Remotti S.A.,,Federico Fogliatto,28820.0,Buffer,730,hDG883/GDF812,0.121,Gustavo,,,,,
2024-08-10,32,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,4600.0,Buffer,731,wTG 975,0.3899,Gustavo,,,,,
2024-08-11,33,Lactosa,Remotti S.A.,,Federico Fogliatto,28440.0,Buffer,732,HDG 873/GDF 812,0.1238,Agustin ,,,,,
2024-08-12,33,Lactosa,Remotti S.A.,,Federico Fogliatto,28120.0,Buffer,733,HDG 873/GDF 813,0.1266,Agustin ,,,,,
2024-08-12,33,Purin(Granja),Mauro Traversaro,,mauro Traversaro,4.48,Buffer,734,WTG 975,0.0193,Agustin ,,,,,
2024-08-12,33,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,18880.0,Buffer,735,fEJ852/LJH045,0.5167,Gustavo,,,,,
2024-08-13,33,Lactosa,Remotti S.A.,,Federico Fogliatto,28260.0,Buffer,736,HDG 873/GDF 813,0.1246,Leonardo,,,,,
2024-08-13,33,Lactosa,Remotti S.A.,,Federico Fogliatto,27700.0,Buffer,737,hDG 873/GDF 812,0.1195,Gustavo,,,,,
2024-08-14,33,Lactosa,Remotti S.A.,,Federico Fogliatto,28560.0,Buffer,738,hDG 873/GDF 813,0.1233,Leonardo,,,,,
2024-08-14,33,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,22080.0,Buffer,739,AXC019/AGJ050,0.0647,Agustin ,,,,,
2024-08-15,33,Lactosa,Remotti S.A.,,Federico Fogliatto,27660.0,Buffer,741,hDG 873/GDF 813,0.1214,Leonardo,,,,,
2024-08-15,33,Lactosa,Remotti S.A.,,Federico Fogliatto,27940.0,Buffer,740,KKS989/GDF812,0.1222,Agustin ,,,,,
2024-08-16,33,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,30920.0,Playón,742,fEJ852/LJH045,0.2108,Leonardo,,,,,
2024-08-16,33,Purin(Granja),Mauro Traversaro,"Factura, para la granja.",mauro Traversaro,24896.0,Buffer,SIN FACT,SIN FACT,0.059,Leonardo,,,,,
2024-08-16,33,Lactosa,Remotti S.A.,,Federico Fogliatto,28020.0,Buffer,743,hDG 873/GDF 813,0.1168,Leonardo,,,,,
2024-08-17,33,Lactosa,Remotti S.A.,,Federico Fogliatto,30620.0,Buffer,744,HDG873 JOF165,0.1175,Leonardo,,,,,
2024-08-17,33,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,4640.0,Buffer,745,WTG 975,0.7263,Agustin ,,,,,
2024-08-18,34,Lactosa,Remotti S.A.,,Federico Fogliatto,28020.0,Buffer,746,HDG 873/GDF 812,0.1211,Gustavo,,,,,
2024-08-19,34,Lactosa,Remotti S.A.,,Federico Fogliatto,30360.0,Buffer,747,hDG 873/GDF 812,0.1212,Gustavo,,,,,
2024-08-19,34,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,16300.0,Playón,748,fEJ852/LJH045,0.2218,Cristián,,,,,
2024-08-20,34,Lactosa,Remotti S.A.,,Federico Fogliatto,28200.0,Buffer,749,hDG 873/GDF 813,0.1111,Cristián,,,,,
2024-08-20,34,Lactosa,Remotti S.A.,,Federico Fogliatto,28440.0,Buffer,750,hDG 873/GDF 812,0.1209,Leonardo,,,,,
2024-08-21,34,Lactosa,Remotti S.A.,,Federico Fogliatto,28100.0,Buffer,751,hDG 873/GDF 813,0.1113,Cristián,,,,,
2024-08-21,34,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,22960.0,Buffer,752,AXC019/AGJ050,0.0704,Leonardo,,,,,
2024-08-22,34,Lactosa,Remotti S.A.,,Federico Fogliatto,28040.0,Buffer,753,AXC019/AGJ051,0.1267,Cristián,,,,,
2024-08-22,34,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,27820.0,Playón,754,fEJ852/LJH045,0.274,Cristián,,,,,
2024-08-22,34,Lactosa,Remotti S.A.,,Federico Fogliatto,29180.0,Buffer,755,AXC019/AGJ051,0.1253,Cristián,,,,,
2024-08-23,34,Lactosa,Remotti S.A.,,Federico Fogliatto,27690.0,Buffer,756,hDG 873/GDF 813,0.1304,Leonardo,,,,,
2024-08-23,34,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,23670.0,Buffer,757,AXC019/AGJ051,0.0688,Leonardo,,,,,
2024-08-24,34,Lactosa,Remotti S.A.,,Federico Fogliatto,29240.0,Buffer,758,AXC019/AGJ051,0.1222,Gustavo,,,,,
2024-08-24,34,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,5340.0,Buffer,759,WTG 975,0.4174,Leonardo,,,,,
2024-08-24,34,Purin(Padrillera),Mauro Traversaro,"Factura, para la granja.",mauro Traversaro,14829.0,Buffer,SIN FACT,SIN FACT,,Leonardo,,,,,
2024-08-25,35,Lactosa,Remotti S.A.,,Federico Fogliatto,29180.0,Buffer,760,KKS989/HQK247,0.1261,Gustavo,,,,,
2024-08-26,35,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,16640.0,Playón,761,fEJ852/LJH045,0.2403,Gustavo,,,,,
2024-08-26,35,Lactosa,Remotti S.A.,,Federico Fogliatto,27340.0,Buffer,762,kKS989/HQK247,0.1267,Gustavo,,,,,
2024-08-26,35,Expeller de girasol,Blessing Aceitera de Ameghino S.A.,Ameghino,Transcereal S.A,24500.0,Playón,763,FBK151/AD510FJ,0.8525,Cristián,,,,,
2024-08-27,35,Lactosa,Remotti S.A.,,Federico Fogliatto,28120.0,Buffer,764,hDG 873/GDF 812,0.1269,Gustavo,,,,,
2024-08-27,35,Lactosa,Remotti S.A.,,Federico Fogliatto,27940.0,Buffer,765,hDG 873/GDF 812,0.1294,Cristián,,,,,
2024-08-28,35,Lactosa,Remotti S.A.,,Federico Fogliatto,29160.0,Buffer,766,kKS989/HQK247,0.1272,Gustavo,,,,,
2024-08-28,35,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,35120.0,Playón,767,fEJ852/LJH045,0.3033,Gustavo,,,,,
2024-08-28,35,Lactosa,Remotti S.A.,,Federico Fogliatto,28220.0,Buffer,768,hDG 873/GDF 812,0.1233,Gustavo,,,,,
2024-08-29,35,Lactosa,Remotti S.A.,,Federico Fogliatto,27980.0,Buffer,769,GDF812/HDG875,0.1298,Cristián,,,,,
2024-08-30,35,Lactosa,Remotti S.A.,,Federico Fogliatto,27680.0,Buffer,770,hDG 873/GDF 812,0.1225,Agustin ,,,,,
2024-08-30,35,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,21260.0,Playón,771,fEJ852/LJH045,0.275,Agustin ,,,,,
2024-09-02,36,Lactosa,Remotti S.A.,,Federico Fogliatto,27580.0,Buffer,772,GDF812/JXJ011,0.124,Agustin ,,,,,
2024-09-02,36,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,4720.0,Buffer,773,WTG 975,0.3816,Agustin ,,,,,
2024-09-02,36,purin(Padrillera),Mauro Traversaro,"Factura, para la granja.",Mauro Traversaro,15000.0,Buffer,SIN FACT,WTG 976,0.0712,Gustavo,,,,,
2024-09-02,36,Lactosa,Remotti S.A.,,Federico Fogliatto,28680.0,Buffer,774,gDF812/JXJ011,0.1128,Gustavo,,,,,
2024-09-03,36,Lactosa,Remotti S.A.,,Federico Fogliatto,27800.0,Buffer,775,VXV247/HQK247,0.1248,Agustin ,,,,,
2024-09-03,36,Lactosa,Remotti S.A.,,Federico Fogliatto,28560.0,Buffer,776,KKS989/GDF165,0.1213,Agustin ,,,,,
2024-09-04,36,Lactosa,Remotti S.A.,,Federico Fogliatto,27420.0,Buffer,777,VXV247/HQK247,0.1217,Agustin ,,,,,
2024-09-05,36,Lactosa,Remotti S.A.,,Federico Fogliatto,27940.0,Buffer,778,VXV247/HQK247,0.1201,Leonardo,,,,,
2024-09-05,36,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,34240.0,Playón,779,fEJ852/LJH045,0.21,Leonardo,,,,,
2024-09-05,36,Lactosa,Remotti S.A.,,Federico Fogliatto,28860.0,Buffer,780,kKS989/HQK247,0.1218,Gustavo,,,,,
2024-09-06,36,Lactosa,Remotti S.A.,,Federico Fogliatto,28340.0,Buffer,781,kKS989/HQK247,0.1227,Leonardo,,,,,
2024-09-06,36,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,16960.0,Playón,782,fEJ852/LJH045,0.2323,Leonardo,,,,,
2024-09-07,36,Lactosa,Remotti S.A.,,Federico Fogliatto,28630.0,Buffer,783,kKS989/HQK247,0.1218,Leonardo,,,,,
2024-09-07,36,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,5160.0,Buffer,784,WTG 975,0.5564,Leonardo,,,,,
2024-09-08,37,Lactosa,Remotti S.A.,,Federico Fogliatto,28660.0,Buffer,785,GDF812/JXJ011,0.1238,Leonardo,,,,,
2024-09-09,37,Lactosa,Remotti S.A.,,Federico Fogliatto,27760.0,Buffer,786,GDF812/JXJ011,0.1236,Leonardo,,,,,
2024-09-10,37,Lactosa,Remotti S.A.,,Federico Fogliatto,28160.0,Buffer,787,GDF812/JXJ011,0.1274,Leonardo,,,,,
2024-09-10,37,Barrido Cargil,Cargill S.A.C.I.,,Transcereal S.A,15220.0,Playón,788,FBK151 / AD510FS,0.7336,Leonardo,,,,,
2024-09-10,37,Lactosa,Remotti S.A.,,Federico Fogliatto,27600.0,Buffer,789,VXV011/GDF812,0.1343,Agustin ,,,,,
2024-09-11,37,Lactosa,Remotti S.A.,,Federico Fogliatto,28000.0,Buffer,790,GDF812/JXJ011,0.1228,Cristián,,,,,
2024-09-11,37,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,28320.0,Playón,791,fEJ852/LJH045,0.3371,Cristián,,,,,
2024-09-12,37,Lactosa,Remotti S.A.,,Federico Fogliatto,29320.0,Buffer,792,GDF812/JXJ011,0.1355,Cristián,,,,,
2024-09-12,37,Lactosa,Remotti S.A.,,Federico Fogliatto,27200.0,Buffer,793,KKS989/HQK247,0.1327,Cristián,,,,,
2024-09-13,37,Lactosa,Remotti S.A.,,Federico Fogliatto,28100.0,Buffer,794,hDG 873/GDF 812,0.1301,Cristián,,,,,
2024-09-13,37,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,20080.0,Playón,795,fEJ852/LJH045,0.3882,Cristián,,,,,
2024-09-13,37,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,4300.0,Buffer,796,WTG 975,0.3882,Cristián,,,,,
2024-09-14,37,Lactosa,Remotti S.A.,,Federico Fogliatto,28320.0,Buffer,797,hDG 873/GDF 812,0.1306,Cristián,,,,,
2024-09-15,38,Lactosa,Remotti S.A.,,Federico Fogliatto,28310.0,Buffer,798,hDG 873/GDF 812,0.132,Cristián,,,,,
2024-09-16,38,Lactosa,Remotti S.A.,,Federico Fogliatto,26340.0,Buffer,799,hDG 873/JDF165,0.1294,Cristián,,,,,
2024-09-17,38,Lactosa,Remotti S.A.,,Federico Fogliatto,28660.0,Buffer,800,hDG 873/JDF165,0.1303,Cristián,,,,,
2024-09-17,38,Lactosa,Remotti S.A.,,Federico Fogliatto,29160.0,Buffer,801,JXJ011/GDF812,0.1375,Cristián,,,,,
2024-09-17,38,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,25760.0,Playón,802,fEJ852/AE310WL,0.3242,Cristián,,,,,
2024-09-18,38,Lactosa,Remotti S.A.,,Federico Fogliatto,27980.0,Buffer,803,hDG 873/GDF 812,0.1287,Gustavo,,,,,
2024-09-18,38,Lactosa,Remotti S.A.,,Federico Fogliatto,28500.0,Buffer,804,hDG 873/GDF 812,0.1213,Leonardo,,,,,
2024-09-19,38,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,13140.0,Playón,805,FEJ852/LJH045,0.3419,Gustavo,,,,,
2024-09-19,38,Lactosa,Remotti S.A.,,Federico Fogliatto,28660.0,Buffer,806,hDG 873/GDF 812,0.1198,Gustavo,,,,,
2024-09-20,38,Lactosa,Remotti S.A.,,Federico Fogliatto,29200.0,Buffer,807,hDG 873/GDF 812,0.1313,Gustavo,,,,,
2024-09-20,38,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,5300.0,Buffer,808,WTG 975,0.4014,Gustavo,,,,,
2024-09-21,38,Lactosa,Remotti S.A.,,Federico Fogliatto,28940.0,Buffer,809,hDG 873/GDF 812,0.1338,Gustavo,,,,,
2024-09-22,39,Lactosa,Remotti S.A.,,Federico Fogliatto,27120.0,Buffer,810,HDG 873/GDF 812,0.1279,Gustavo,,,,,
2024-09-23,39,Lactosa,Remotti S.A.,,Federico Fogliatto,29860.0,Buffer,811,hDG 873/GDF 812,0.1335,Agustin ,,,,,
2024-09-24,39,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,24360.0,Playón,812,FEJ852/LJH045,0.4232,Agustin ,,,,,
2024-09-24,39,Lactosa,Remotti S.A.,,Federico Fogliatto,27940.0,Buffer,813,hDG 873/GDF 812,0.1303,Cristián,,,,,
2024-09-24,39,Barrido Cargil,Cargill S.A.C.I.,,Transcereal S.A,7640.0,Playón,814,FBK151 / AD510FJ,,Cristián,,,,,
2024-09-25,39,Lactosa,Remotti S.A.,,Federico Fogliatto,28920.0,Buffer,815,hDG 873/GDF 812,0.1199,Leonardo,,,,,
2024-09-25,39,Lactosa,Remotti S.A.,,Federico Fogliatto,27940.0,Buffer,816,jxj011/jfd 165,0.1273,Agustin ,,,,,
2024-09-25,39,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,17220.0,Playón,817,FEJ852/LJH045,0.248,Agustin ,,,,,
2024-09-26,39,Lactosa,Remotti S.A.,,Federico Fogliatto,26600.0,buffer,818,AG001MB/JFD165,0.1214,Agustin ,,,,,
2024-09-26,39,Lactosa,Remotti S.A.,,Federico Fogliatto,27540.0,buffer,819,hDG 873/GDF 812,0.1295,Agustin ,,,,,
2024-09-26,39,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,5140.0,buffer,820,WTG 975,0.5804,Agustin ,,,,,
2024-09-26,39,purin(Padrillera),Mauro Traversaro,"Factura, para la granja.",Mauro Traversaro,5000.0,buffer,SIN FACT,WTG 975,0.1077,Gustavo,,,,,
2024-09-26,39,purin(Padrillera),Mauro Traversaro,"Factura, para la granja.",mauro Traversaro,5000.0,Buffer,SIN FACT,WTG 975,0.0675,Gustavo,,,,,
2024-09-27,39,Lactosa,Remotti S.A.,,Federico Fogliatto,27400.0,Buffer,821,jxj011,0.1255,Agustin ,,,,,
2024-09-27,39,Dececho de girasol ,Blessing aceitera de ameghino,,Transcereal S.A,10540.0,Playón,822,FBK151 / AD510FJ,,Agustin ,,,,,
2024-09-27,39,desechos de girasol,Blessing aceitera de ameghino,,Transcereal S.A,13760.0,Playón,823,KRQ062/NDN433,0.9365,Gustavo,,,,,
2024-09-28,39,Lactosa,Remotti S.A.,,Federico Fogliatto,27800.0,Buffer,824,VXV011/GDF812,0.1289,Agustin ,,,,,
2024-09-29,40,Lactosa,Remotti S.A.,,Federico Fogliatto,27220.0,Buffer,825,GDF812/JXJ011,0.1289,Cristián,,,,,
2024-09-30,40,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,21800.0,Playón,826,FEJ852/LJH045,0.256,Leonardo,,,,,
2024-09-30,40,Lactosa,Remotti S.A.,,Federico Fogliatto,25180.0,Buffer,827,GDF812/JXJ011,0.1213,Leonardo,,,,,
2024-10-01,40,Lactosa,Remotti S.A.,,Federico Fogliatto,27200.0,Buffer,828,GDF812/JXJ011,0.1209,Cristián,,,,,
2024-10-01,40,Lactosa,Remotti S.A.,,Federico Fogliatto,27560.0,Buffer,829,GDF812/JXJ011,0.125,Leonardo,,,,,
2024-10-01,40,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,21020.0,Playón,830,FEJ852/LJH045,0.2832,Leonardo,,,,,
2024-10-02,40,Lactosa,Remotti S.A.,,Federico Fogliatto,28940.0,Buffer,831,hDG 873/GDF 812,0.1329,Leonardo,,,,,
2024-10-03,40,Lactosa,Remotti S.A.,,Federico Fogliatto,27240.0,Buffer,832,JXJ611/HFN3116,0.1168,Cristián,,,,,
2024-10-03,40,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,29600.0,Playón,840,FEJ852/LJH045,0.2632,Cristián,,,,,
